"task_id","phase","value"
"s3r_0016__LA_D1_HC_Li_N500__r01__local_auto__screened","phase_fold_component_cache_sec",0.786000000000001
"s3r_0016__LA_D1_HC_Li_N500__r01__local_auto__screened","phase_full_component_cache_sec",0.153999999999996
"s3r_0016__LA_D1_HC_Li_N500__r01__local_auto__screened","phase_lambda_search_sec",3.88
"s3r_0016__LA_D1_HC_Li_N500__r01__local_auto__screened","phase_final_solve_sec",0.0919999999999987
"s3r_0016__LA_D1_HC_Li_N500__r01__local_auto__screened","evaluated_lambda_count",6
"s3r_0016__LA_D1_HC_Li_N500__r01__local_auto__screened","unique_lambda_count",6
"s3r_0016__LA_D1_HC_Li_N500__r01__local_auto__screened","boundary_expansion_count",0
"s3r_0017__LA_D1_HC_Li_N500__r02__auto__full","total.elapsed.sec",5.002
"s3r_0017__LA_D1_HC_Li_N500__r02__auto__full","phase_frames_sec",0.193000000000001
"s3r_0017__LA_D1_HC_Li_N500__r02__auto__full","phase_sync_rows_sec",0.166
"s3r_0017__LA_D1_HC_Li_N500__r02__auto__full","phase_system_cache_sec",0.00900000000000034
"s3r_0017__LA_D1_HC_Li_N500__r02__auto__full","phase_fold_component_cache_sec",0.900999999999996
"s3r_0017__LA_D1_HC_Li_N500__r02__auto__full","phase_full_component_cache_sec",0.205000000000005
"s3r_0017__LA_D1_HC_Li_N500__r02__auto__full","phase_lambda_search_sec",3.41999999999999
"s3r_0017__LA_D1_HC_Li_N500__r02__auto__full","phase_final_solve_sec",0.0380000000000038
"s3r_0017__LA_D1_HC_Li_N500__r02__auto__full","evaluated_lambda_count",6
"s3r_0017__LA_D1_HC_Li_N500__r02__auto__full","unique_lambda_count",6
"s3r_0017__LA_D1_HC_Li_N500__r02__auto__full","boundary_expansion_count",0
"s3r_0018__LA_D1_HC_Li_N500__r02__auto__screened","total.elapsed.sec",3.121
"s3r_0018__LA_D1_HC_Li_N500__r02__auto__screened","phase_frames_sec",0.193000000000001
"s3r_0018__LA_D1_HC_Li_N500__r02__auto__screened","phase_sync_rows_sec",0.163
"s3r_0018__LA_D1_HC_Li_N500__r02__auto__screened","phase_system_cache_sec",0.0120000000000005
"s3r_0018__LA_D1_HC_Li_N500__r02__auto__screened","phase_fold_component_cache_sec",0.561
"s3r_0018__LA_D1_HC_Li_N500__r02__auto__screened","phase_full_component_cache_sec",0.131999999999998
"s3r_0018__LA_D1_HC_Li_N500__r02__auto__screened","phase_lambda_search_sec",1.995
"s3r_0018__LA_D1_HC_Li_N500__r02__auto__screened","phase_final_solve_sec",0.032
"s3r_0018__LA_D1_HC_Li_N500__r02__auto__screened","evaluated_lambda_count",7
"s3r_0018__LA_D1_HC_Li_N500__r02__auto__screened","unique_lambda_count",7
"s3r_0018__LA_D1_HC_Li_N500__r02__auto__screened","boundary_expansion_count",1
"s3r_0019__LA_D1_HC_Li_N500__r02__local_auto__full","total.elapsed.sec",5.33900000000001
"s3r_0019__LA_D1_HC_Li_N500__r02__local_auto__full","phase_frames_sec",0.277000000000001
"s3r_0019__LA_D1_HC_Li_N500__r02__local_auto__full","phase_sync_rows_sec",0.131999999999991
"s3r_0019__LA_D1_HC_Li_N500__r02__local_auto__full","phase_system_cache_sec",0.0420000000000016
"s3r_0019__LA_D1_HC_Li_N500__r02__local_auto__full","phase_fold_component_cache_sec",1.093
"s3r_0019__LA_D1_HC_Li_N500__r02__local_auto__full","phase_full_component_cache_sec",0.201999999999998
"s3r_0019__LA_D1_HC_Li_N500__r02__local_auto__full","phase_lambda_search_sec",2.76600000000001
"s3r_0019__LA_D1_HC_Li_N500__r02__local_auto__full","phase_final_solve_sec",0.027000000000001
"s3r_0019__LA_D1_HC_Li_N500__r02__local_auto__full","evaluated_lambda_count",6
"s3r_0019__LA_D1_HC_Li_N500__r02__local_auto__full","unique_lambda_count",6
"s3r_0019__LA_D1_HC_Li_N500__r02__local_auto__full","boundary_expansion_count",0
"s3r_0020__LA_D1_HC_Li_N500__r02__local_auto__screened","total.elapsed.sec",5.452
"s3r_0020__LA_D1_HC_Li_N500__r02__local_auto__screened","phase_frames_sec",0.208999999999996
