"task_id","batch_id","dataset_id","geometry_family","n","p","repetition","response_seed","fold_seed","sigma","method","chart_dim_rule","search_policy","backend_variant","design_basis","support_grid","degree_grid","kernel_grid","lambda_sync_search","status","truth_rmse","observed_rmse","selected_cv_rmse_observed","selected_support_size","selected_degree","selected_kernel","selected_lambda_sync","selected_total_local_gcv_ps","selected_sync_energy","finite_cv_candidates","total_cv_candidates","local_candidates_total","local_candidates_evaluated","local_candidates_finite","local_candidates_evaluated_supports","chart_dim_n","chart_dim_min","chart_dim_median","chart_dim_max","chart_dim_unique","timing_frame_prep_sec","timing_system_cache_sec","timing_fold_cache_sec","timing_lambda_search_sec","timing_final_solve_sec","timing_total_fit_sec","elapsed_sec"
"s3r_0031__LA_D1_HC_Lc_N500__r02__local_auto__full","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,2,20562709,20562708,0.1,"ps_lps","local.auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0266348357942847,0.101762137724397,0.106597653836529,33,2,"tricube",10,3.15632310634691,0.185959647456745,7,8,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,3,3,NA,NA,NA,NA,NA,NA,142.823
"s3r_0032__LA_D1_HC_Lc_N500__r02__local_auto__screened","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,2,20562709,20562708,0.1,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0268535601839158,0.102077518830641,0.10672502235804,35,2,"tricube",10,3.06216077491076,0.211790547656529,7,8,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,3,3,NA,NA,NA,NA,NA,NA,55.529
"s3r_0033__LA_D1_HC_Lc_N500__r03__auto__full","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,3,20563609,20563608,0.1,"ps_lps","auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0273377312027115,0.093474132931549,0.106661524564253,29,2,"tricube",1,2.93209660821478,1.30800737984018,5,6,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,2,2,2,1,NA,NA,NA,NA,NA,NA,106.712
"s3r_0034__LA_D1_HC_Lc_N500__r03__auto__screened","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,3,20563619,20563618,0.1,"ps_lps","auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0308089813768974,0.0957323330803403,0.105117719370312,35,2,"tricube",1,2.89587336168764,1.65645311477129,5,6,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,2,2,2,1,NA,NA,NA,NA,NA,NA,30.563
"s3r_0035__LA_D1_HC_Lc_N500__r03__local_auto__full","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,3,20563709,20563708,0.1,"ps_lps","local.auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0235030100701656,0.0998186077035675,0.104514921507635,21,2,"tricube",30,5.12367589726729,0.047047666947167,7,8,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,3,3,NA,NA,NA,NA,NA,NA,143.362
"s3r_0036__LA_D1_HC_Lc_N500__r03__local_auto__screened","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,3,20563709,20563708,0.1,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0216409362408439,0.0997616040007267,0.105036059797254,16,2,"tricube",90,8.48846645810774,0.00975759491351427,7,8,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,3,3,NA,NA,NA,NA,NA,NA,54.707
"s3r_0037__LA_D1_HC_Gv_N500__r01__auto__full","FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",500,3,1,20661609,20661608,0.1,"ps_lps","auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0298876419545635,0.094400396069477,0.104235469069591,27,2,"tricube",1,3.13790435464358,0.628073585038603,5,6,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,2,2,2,1,NA,NA,NA,NA,NA,NA,85.672
"s3r_0038__LA_D1_HC_Gv_N500__r01__auto__screened","FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",500,3,1,20661619,20661618,0.1,"ps_lps","auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0297123559366842,0.0930915861705306,0.1001442357674,15,2,"tricube",10,5.71517602966118,0.0645890130000536,6,7,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,2,2,2,1,NA,NA,NA,NA,NA,NA,26.674
"s3r_0039__LA_D1_HC_Gv_N500__r01__local_auto__full","FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",500,3,1,20661709,20661708,0.1,"ps_lps","local.auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0278735907660737,0.090214560298585,0.10096314703375,23,2,"tricube",1,3.60677232652955,0.661632213888073,5,6,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,3,3,NA,NA,NA,NA,NA,NA,106.176
"s3r_0040__LA_D1_HC_Gv_N500__r01__local_auto__screened","FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",500,3,1,20661709,20661708,0.1,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0275602508741762,0.0907019719474466,0.101005779497771,25,2,"tricube",1,3.25601375239149,0.719049303885912,5,6,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,1,3,3,NA,NA,NA,NA,NA,NA,48.367
