"support.size","degree","kernel","chart.dim","cv.rmse.observed","run.label","dataset.id","analysis.sample.policy"
24,2,"gaussian",5,163.368753619135,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
25,2,"gaussian",5,125.701563682483,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
26,2,"gaussian",5,92.4896059692477,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
27,2,"gaussian",5,78.6166951037397,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
28,2,"gaussian",5,73.7175006375271,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
29,2,"gaussian",6,249.059285644838,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
30,2,"gaussian",6,293.847699293353,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
31,2,"gaussian",6,130.717615554476,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
32,2,"gaussian",6,116.373009635543,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
33,2,"gaussian",6,94.3085682543332,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
34,2,"gaussian",6,82.9808244221302,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
35,2,"gaussian",6,80.8657138992187,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
15,1,"tricube",12,37.7243560646646,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
16,1,"tricube",13,53.4274870075034,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
17,1,"tricube",14,33.1540926252904,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
18,1,"tricube",14,26.8852266292218,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
19,1,"tricube",15,21.8169805188895,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
20,1,"tricube",16,28.4059305729258,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
21,1,"tricube",16,19.2086078413392,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
22,1,"tricube",17,14.4161475952586,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
23,1,"tricube",18,16.649765220557,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
24,1,"tricube",19,14.188926828333,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
25,1,"tricube",19,13.5947942367154,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
26,1,"tricube",20,11.5864816793029,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
27,1,"tricube",21,13.1547744822361,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
28,1,"tricube",21,11.7682604310265,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
29,1,"tricube",22,12.8326539404176,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
30,1,"tricube",23,9.72074310421508,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
31,1,"tricube",23,9.61077601838513,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
32,1,"tricube",24,10.7831853497383,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
33,1,"tricube",25,10.0877484022592,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
34,1,"tricube",25,8.96139800236259,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
35,1,"tricube",26,7.89926676235835,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
15,2,"tricube",3,245.178461600172,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
16,2,"tricube",4,54304.8563809382,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
17,2,"tricube",4,1974.85455493201,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
18,2,"tricube",4,416.895748445742,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
19,2,"tricube",4,289.483708433424,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
20,2,"tricube",4,265.841959553382,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
21,2,"tricube",4,217.966086749991,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
22,2,"tricube",5,1800.51866696745,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
23,2,"tricube",5,820.349662480574,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
24,2,"tricube",5,1108.74046273362,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
25,2,"tricube",5,429.671184187711,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
26,2,"tricube",5,220.161597508207,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
27,2,"tricube",5,199.380714381136,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
28,2,"tricube",5,159.280350292998,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
29,2,"tricube",6,5415.09030524816,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
30,2,"tricube",6,566.005109663423,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
31,2,"tricube",6,280.718549059882,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
32,2,"tricube",6,339.152340565976,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
33,2,"tricube",6,248.997029805947,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
34,2,"tricube",6,211.596591709417,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
35,2,"tricube",6,177.15277261252,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
15,1,"gaussian",2,0.284731694980427,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
16,1,"gaussian",2,0.294977088087601,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
17,1,"gaussian",2,0.306826819925523,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
18,1,"gaussian",2,0.318882664609375,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
19,1,"gaussian",2,0.330740915580729,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
20,1,"gaussian",2,0.343866932682134,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
21,1,"gaussian",2,0.354442342463699,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
22,1,"gaussian",2,0.363542731034934,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
23,1,"gaussian",2,0.374610109203273,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
24,1,"gaussian",2,0.383742340452649,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
25,1,"gaussian",2,0.392802807831059,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
26,1,"gaussian",2,0.403019293863565,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
27,1,"gaussian",2,0.413019883992468,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
28,1,"gaussian",2,0.424206159488895,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
29,1,"gaussian",2,0.433696050333564,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
30,1,"gaussian",2,0.444897501439603,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
31,1,"gaussian",2,0.453784281349439,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
32,1,"gaussian",2,0.464969018941116,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
33,1,"gaussian",2,0.474060788238613,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
34,1,"gaussian",2,0.484166785576126,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
35,1,"gaussian",2,0.492547080758035,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
15,2,"gaussian",2,0.143576200590206,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
16,2,"gaussian",2,0.143137645298586,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
17,2,"gaussian",2,0.144125456294165,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
18,2,"gaussian",2,0.147087996442013,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
19,2,"gaussian",2,0.145576402620467,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
20,2,"gaussian",2,0.148205490301295,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
21,2,"gaussian",2,0.149243831652716,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
22,2,"gaussian",2,0.150535027838315,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
23,2,"gaussian",2,0.153844061311847,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
24,2,"gaussian",2,0.154099244574317,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
25,2,"gaussian",2,0.156843130814978,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
26,2,"gaussian",2,0.160538638487426,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
27,2,"gaussian",2,0.165042598446039,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
28,2,"gaussian",2,0.16914194975713,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
29,2,"gaussian",2,0.172942909998103,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
30,2,"gaussian",2,0.176043696381965,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
31,2,"gaussian",2,0.181644523418165,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
32,2,"gaussian",2,0.183860793949684,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
33,2,"gaussian",2,0.187092335924198,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
34,2,"gaussian",2,0.189769324052132,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
35,2,"gaussian",2,0.195003330038603,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
15,1,"tricube",2,0.189109867688867,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
16,1,"tricube",2,0.194289656941186,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
17,1,"tricube",2,0.19868273588449,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
18,1,"tricube",2,0.20553104488722,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
19,1,"tricube",2,0.212473049411126,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
20,1,"tricube",2,0.220565636605672,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
21,1,"tricube",2,0.225980657961812,"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","full_dataset"
