"batch_id","dataset_id","method","lambda.sync","lambda.ridge","cv.rmse.observed","total.local.gcv.ps","sync.energy","mean.sync.squared.disagreement","ridge.median","ridge.max"
"FB07","LA-D2-HC-TOP1-N500","ridge-LPS local.auto",0,1e-08,1.00606201307962,26.4994184241727,16.3745738316009,0.000986687586718729,2.67421024924046e-07,5.01821547714781e-06
"FB07","LA-D2-HC-TOP1-N500","PS-LPS auto",0,1e-08,3.09908421187266,11.4651490779855,8.09361135266617,0.000867668456769558,1.59727892847199e-07,2.61615092724619e-06
"FB07","LA-D2-HC-TOP1-N500","PS-LPS auto",0.1,1e-08,2.36384126673575,13.0288971093181,4.20911910775633,0.000451234896444976,3.31400817001058e-06,3.31400817001058e-06
"FB07","LA-D2-HC-TOP1-N500","PS-LPS auto",1,1e-08,1.42773873673216,14.1104755023387,2.06336939158529,0.000221201693253111,9.59472335489005e-06,9.59472335489005e-06
"FB07","LA-D2-HC-TOP1-N500","PS-LPS local.auto",0,1e-08,1.00606201307962,26.4994184241727,16.3745738316009,0.000986687586718729,2.67421024924046e-07,5.01821547714781e-06
"FB07","LA-D2-HC-TOP1-N500","PS-LPS local.auto",0.1,1e-08,0.526286559560848,30.1179564138848,10.0068112292914,0.000602983413438496,6.51733818357552e-06,6.51733818357552e-06
"FB07","LA-D2-HC-TOP1-N500","PS-LPS local.auto",1,1e-08,0.300711394350755,32.1721789345515,6.08573738872249,0.000366710095739662,2.00094425414248e-05,2.00094425414248e-05
"FB08","LA-D3-RAW-N500","ridge-LPS auto",0,1e-08,0.658069940331271,10.6321962872899,8.98519528680462,0.000620181895045601,2.32411342452228e-07,2.91679844965533e-07
"FB08","LA-D3-RAW-N500","ridge-LPS local.auto",0,1e-08,1.05313475459438,35.402499179946,19.9883966696909,0.00128749737118256,2.47411329581665e-07,3.04575341311395e-07
"FB08","LA-D3-RAW-N500","PS-LPS auto",0,1e-08,0.658069940331271,10.6321962872899,8.98519528680462,0.000620181895045601,2.32411342452228e-07,2.91679844965533e-07
"FB08","LA-D3-RAW-N500","PS-LPS auto",0.1,1e-08,0.359854664859698,10.9952344911927,5.3524692367004,0.000369441554516356,5.39352405275556e-07,5.39352405275556e-07
"FB08","LA-D3-RAW-N500","PS-LPS auto",1,1e-08,0.197088513904268,11.878844620465,1.4589825804774,0.000100702828677281,2.77135240407856e-06,2.77135240407856e-06
"FB08","LA-D3-RAW-N500","PS-LPS local.auto",0,1e-08,1.05313475459438,35.402499179946,19.9883966696909,0.00128749737118256,2.47411329581665e-07,3.04575341311395e-07
"FB08","LA-D3-RAW-N500","PS-LPS local.auto",0.1,1e-08,1.01319090148311,37.1429135080283,12.7380624752114,0.000820487116691162,5.67994270825997e-07,5.67994270825997e-07
"FB08","LA-D3-RAW-N500","PS-LPS local.auto",1,1e-08,1.00433418557904,41.1961103654032,3.59636166844653,0.000231649705099546,2.94399426958672e-06,2.94399426958672e-06
"FB09","LA-13K-SUB-N500","ridge-LPS auto",0,1e-08,3.10453553095031,14.6609846636734,13.2421099642204,0.00225033732614002,1.0867088204996e-07,1.39410239974917e-07
"FB09","LA-13K-SUB-N500","ridge-LPS local.auto",0,1e-08,2.61837485850918,14.1419060476203,13.7730070362886,0.00234055689846208,1.0867088204996e-07,1.39410239974917e-07
"FB09","LA-13K-SUB-N500","PS-LPS auto",0,1e-08,3.10453553095031,14.6609846636734,13.2421099642204,0.00225033732614002,1.0867088204996e-07,1.39410239974917e-07
"FB09","LA-13K-SUB-N500","PS-LPS auto",0.1,1e-08,1.91778047286096,15.2636052304077,8.00093731366591,0.00135966306953326,2.44334263291406e-07,2.44334263291406e-07
"FB09","LA-13K-SUB-N500","PS-LPS auto",1,1e-08,0.52630576252396,18.5840853137371,1.8951397185493,0.000322056202404679,1.35936485468532e-06,1.35936485468532e-06
"FB09","LA-13K-SUB-N500","PS-LPS local.auto",0,1e-08,2.61837485850918,14.1419060476203,13.7730070362886,0.00234055689846208,1.0867088204996e-07,1.39410239974917e-07
"FB09","LA-13K-SUB-N500","PS-LPS local.auto",0.1,1e-08,1.38300162118312,14.7484006910405,8.37545208347824,0.00142330735039006,2.44334263291406e-07,2.44334263291406e-07
"FB09","LA-13K-SUB-N500","PS-LPS local.auto",1,1e-08,0.258760915185019,18.1635791543926,1.99537959180094,0.00033909076328321,1.35936485468532e-06,1.35936485468532e-06
"FB10","SYN-PARA-LINE-N500","ridge-LPS auto",0,1e-08,0.1113789643596,5.28219405494034,5.41992559922221,0.00037723512114748,2.7813755488352e-07,3.09285747695378e-07
"FB10","SYN-PARA-LINE-N500","ridge-LPS local.auto",0,1e-08,0.112743753867106,5.37110965484436,5.68881373839265,0.000435807541490911,2.53856882757667e-07,2.85570724015271e-07
"FB10","SYN-PARA-LINE-N500","PS-LPS auto",0,1e-08,0.1113789643596,5.28219405494034,5.41992559922221,0.00037723512114748,2.7813755488352e-07,3.09285747695378e-07
"FB10","SYN-PARA-LINE-N500","PS-LPS auto",0.1,1e-08,0.110186549001218,5.28913367761755,3.45263130954621,0.000240308426101118,5.1595269174201e-07,5.1595269174201e-07
"FB10","SYN-PARA-LINE-N500","PS-LPS auto",1,1e-08,0.108448768938567,5.36422323128584,0.865147950062741,6.02156221109838e-05,2.55062269641958e-06,2.55062269641958e-06
"FB10","SYN-PARA-LINE-N500","PS-LPS local.auto",0,1e-08,0.112743753867106,5.37110965484436,5.68881373839265,0.000435807541490911,2.53856882757667e-07,2.85570724015271e-07
"FB10","SYN-PARA-LINE-N500","PS-LPS local.auto",0.1,1e-08,0.111025219378605,5.38262925582786,3.59706409764772,0.000275563189984842,4.66850147902246e-07,4.66850147902246e-07
"FB10","SYN-PARA-LINE-N500","PS-LPS local.auto",1,1e-08,0.109052847774004,5.4847029165831,0.8710370617067,6.67282385865421e-05,2.29711772046933e-06,2.29711772046933e-06
"FB11","SYN-SADDLE-LINE-N500","ridge-LPS auto",0,1e-08,0.113091159534634,5.30100186640722,6.12947951822996,0.000463441669671532,2.54922565056219e-07,2.81095097443344e-07
"FB11","SYN-SADDLE-LINE-N500","ridge-LPS local.auto",0,1e-08,0.112988329393043,5.29379613303719,6.16961964030084,0.000466476610099675,2.54922565056219e-07,2.81095097443344e-07
"FB11","SYN-SADDLE-LINE-N500","PS-LPS auto",0,1e-08,0.113091159534634,5.30100186640722,6.12947951822996,0.000463441669671532,2.54922565056219e-07,2.81095097443344e-07
"FB11","SYN-SADDLE-LINE-N500","PS-LPS auto",0.1,1e-08,0.107920315077058,5.31000794063526,3.87680805123635,0.000293120221858552,4.94166432958095e-07,4.94166432958095e-07
"FB11","SYN-SADDLE-LINE-N500","PS-LPS auto",1,1e-08,0.105288252262416,5.40268366083703,1.06688808112988,8.0665967183829e-05,2.4291664317724e-06,2.4291664317724e-06
"FB11","SYN-SADDLE-LINE-N500","PS-LPS local.auto",0,1e-08,0.112988329393043,5.29379613303719,6.16961964030084,0.000466476610099675,2.54922565056219e-07,2.81095097443344e-07
"FB11","SYN-SADDLE-LINE-N500","PS-LPS local.auto",0.1,1e-08,0.10782141549188,5.3028670472195,3.90224961981158,0.000295043824504503,4.94166432958095e-07,4.94166432958095e-07
"FB11","SYN-SADDLE-LINE-N500","PS-LPS local.auto",1,1e-08,0.105224003626104,5.39626732942818,1.06925057790251,8.08445923747031e-05,2.4291664317724e-06,2.4291664317724e-06
"FB12","SYN-TWO-PLANES-N600","ridge-LPS auto",0,1e-08,0.111183428933184,5.87009473592198,10.8196494262564,0.00063029531832016,2.75615688396001e-07,2.97596783332775e-07
"FB12","SYN-TWO-PLANES-N600","ridge-LPS local.auto",0,1e-08,0.111669618557884,6.07029412378729,9.76986885616494,0.000569140677118348,2.75615688396001e-07,2.97596783332775e-07
"FB12","SYN-TWO-PLANES-N600","PS-LPS auto",0,1e-08,0.111183428933184,5.87009473592198,10.8196494262564,0.00063029531832016,2.75615688396001e-07,2.97596783332775e-07
