"batch_id","dataset_id","chart_dim_rule","lambda_ridge","lambda_sync","status","error","support_size","degree","kernel","chart_dim_summary","cv_rmse_observed","observed_rmse","truth_rmse","total_local_gcv","sync_energy","mean_sync_squared_disagreement","ridge_median","ridge_max","elapsed_sec","selected_by_cv","requested_zero_ridge_fallback"
"FB08","LA-D3-RAW-N500","auto",1e-10,10,"ok",,31,2,"gaussian",4,0.291102824904564,0.0870368061742107,0.0412857921294485,12.2275498775074,0.28788883205281,1.98708470685306e-05,2.50913523921087e-07,2.50913523921087e-07,10.6600000000001,TRUE,FALSE
"FB08","LA-D3-RAW-N500","auto",1e-08,10,"ok",,31,2,"gaussian",4,0.166469719380165,0.0926260934516366,0.0329003328598296,13.2619174846122,0.243135440056553,1.67818498267324e-05,2.50913523921087e-05,2.50913523921087e-05,10.1179999999999,TRUE,FALSE
"FB08","LA-D3-RAW-N500","auto",1e-06,10,"ok",,31,2,"gaussian",4,0.137795346766337,0.098319943478573,0.0316574794383728,14.2784697701978,0.270851149615315,1.86948612558696e-05,0.00250913523921087,0.00250913523921087,10.5600000000001,TRUE,FALSE
"FB08","LA-D3-RAW-N500","local.auto",0,0.3,"ok",,33,2,"gaussian",4,0.480097888466507,0.0630872229621024,0.0684639329060252,14.5930729185283,14.2378992961964,0.000917094963540082,0,0,12.319,TRUE,FALSE
"FB08","LA-D3-RAW-N500","local.auto",1e-10,0.01,"ok",,33,2,"gaussian",4,0.307887486438711,0.0711440524396347,0.0674746742076818,28.4887393337549,23.6297341028606,0.00152204406596091,3.30394270949925e-09,3.30394270949925e-09,12.908,TRUE,FALSE
"FB08","LA-D3-RAW-N500","local.auto",1e-08,10,"ok",,33,2,"gaussian",4,0.855355056459784,0.104448983734939,0.0506497500752934,46.8509557521138,1.10476875918919,7.11606286750113e-05,2.67039942571939e-05,2.67039942571939e-05,12.8979999999999,TRUE,FALSE
"FB08","LA-D3-RAW-N500","local.auto",1e-06,10,"ok",,33,2,"gaussian",4,0.280835786541336,0.106100483907913,0.0476854341654982,48.5895283682544,1.45911839929586,9.39850821645002e-05,0.00267039942571939,0.00267039942571939,12.965,TRUE,FALSE
"FB09","LA-13K-SUB-N500","auto",0,10,"ok",,15,2,"gaussian",3,1.09041599264545,0.0773264963230556,0.0510310197236887,22.9505525101243,0.274214520463953,4.65994597867658e-05,0,0,2.57100000000003,TRUE,FALSE
"FB09","LA-13K-SUB-N500","auto",1e-10,10,"ok",,15,2,"gaussian",3,0.669043861937678,0.0784908411792015,0.0500402316562206,23.7662027472662,0.247556403955165,4.20692335021025e-05,1.26093648246077e-07,1.26093648246077e-07,2.55600000000004,TRUE,FALSE
"FB09","LA-13K-SUB-N500","auto",1e-08,10,"ok",,15,2,"gaussian",3,0.168928089078665,0.0809664126193151,0.0466829703238224,25.1184148620288,0.209427944634031,3.55897604097937e-05,1.26093648246077e-05,1.26093648246077e-05,2.58900000000006,TRUE,FALSE
"FB09","LA-13K-SUB-N500","auto",1e-06,10,"ok",,15,2,"gaussian",3,0.112954118246839,0.0883845021646354,0.0382696166226526,28.7001115853394,0.143312589951913,2.43542510480562e-05,0.00126093648246077,0.00126093648246077,2.58000000000004,TRUE,FALSE
"FB09","LA-13K-SUB-N500","local.auto",0,10,"ok",,15,2,"gaussian",3,0.938394716830951,0.0808927830037986,0.0495406733481416,23.0451400896387,0.270874723150314,4.60319014009096e-05,0,0,2.60299999999995,TRUE,FALSE
