"support.size","degree","kernel","chart.dim","cv.rmse.observed","run.label","dataset.id"
30,1,"tricube",2,0.287717931988543,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
31,1,"tricube",2,0.29354241652909,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
32,1,"tricube",2,0.301598899728983,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
33,1,"tricube",2,0.310181518260765,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
34,1,"tricube",2,0.315921169130286,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
35,1,"tricube",2,0.322747459545726,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
15,2,"tricube",2,0.148144122450396,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
16,2,"tricube",2,0.145439927322556,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
17,2,"tricube",2,0.142139317097379,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
18,2,"tricube",2,0.140256302138751,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
19,2,"tricube",2,0.137916012808229,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
20,2,"tricube",2,0.136329471417642,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
21,2,"tricube",2,0.135193235440257,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
22,2,"tricube",2,0.134031247575109,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
23,2,"tricube",2,0.13317946557616,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
24,2,"tricube",2,0.132905737901347,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
25,2,"tricube",2,0.133271446191131,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
26,2,"tricube",2,0.134085192801996,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
27,2,"tricube",2,0.134962131182214,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
28,2,"tricube",2,0.136494905996894,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
29,2,"tricube",2,0.138090127178717,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
30,2,"tricube",2,0.139444025834772,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
31,2,"tricube",2,0.141578783431371,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
32,2,"tricube",2,0.144315929940172,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
33,2,"tricube",2,0.146783562245987,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
34,2,"tricube",2,0.149030630143832,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
35,2,"tricube",2,0.151349264179384,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
15,1,"gaussian",2,0.29061803500246,"cpp.local.pca","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
