"point","truth","y","fit_auto","fit_local_auto","error_auto","error_local_auto","abs_error_auto","abs_error_local_auto","squared_error_auto","squared_error_local_auto","rmse_component","mse_component","local_dim","auto_dim","dim_deviation","region","PC1","PC2","helps_local_auto","component_abs_rank","component_signed_rank"
400,-0.320901688928903,-0.234379378957189,-0.276138965611988,-0.275435765516237,0.0447627233169149,0.0454659234126655,0.0447627233169149,0.0454659234126655,0.00200370139874668,0.00206715019176637,1.32404049487652e-06,1.26897586039374e-07,2,2,0,"Li",-0.831198263714682,-1.38874181222536,FALSE,293,172
401,0.214028626425347,0.321472722253137,0.227190654323099,0.227456535900659,0.0131620278977522,0.013427909475312,0.0131620278977522,0.013427909475312,0.000173238978381206,0.000180308752877174,1.47531060510506e-07,1.41395489919347e-08,2,2,0,"Gv",-0.96382865585777,1.12686883715291,FALSE,430,248
402,0.182995234935775,0.372560712355633,0.251465391694135,0.248082541299522,0.06847015675836,0.0650873063637468,0.06847015675836,0.0650873063637468,0.00468816236651439,0.00423635744968824,-9.4282015022181e-06,-9.03609833652298e-07,2,2,0,"Gv",-0.997939769673996,1.7585526679429,TRUE,104,468
403,-0.423898830389336,-0.484198560749846,-0.436930318429432,-0.470469592303184,-0.0130314880400953,-0.0465707619138476,0.0130314880400953,0.0465707619138476,0.000169819680539147,0.00216883586523628,4.1715188776425e-05,3.99803236939427e-06,2,2,0,"Li",-0.801888664456323,-1.69119728749178,FALSE,23,18
404,-0.43166634240301,-0.470753124475323,-0.470571675966057,-0.470753124475795,-0.038905333563047,-0.0390867820727857,0.038905333563047,0.0390867820727857,0.00151362497965195,0.00152777653280544,2.95312622177093e-07,2.83031063069757e-08,3,2,1,"Li",-0.807626167486633,-1.70914678363961,FALSE,407,238
405,-0.164145646548678,-0.205767849701697,-0.208349358170291,-0.20824352746233,-0.0442037116216137,-0.0440978809136522,0.0442037116216137,0.0440978809136522,0.00195396812112678,0.00194462310107465,-1.95010564986065e-07,-1.86900401042598e-08,2,2,0,"Li",-0.828941922898034,-0.796730784595581,TRUE,420,323
406,0.126035056082303,0.0884693138002639,0.110674225382007,0.110797759179576,-0.015360830700296,-0.0152372969027271,0.015360830700296,0.0152372969027271,0.000235955119803155,0.000232175216901856,-7.88784824711845e-08,-7.55980580259812e-09,2,2,0,"Lc",1.95860569388169,0.200735079814987,TRUE,447,306
407,-0.415289909403142,-0.451953003973378,-0.432013596082573,-0.432254910013644,-0.0167236866794311,-0.0169650006105018,0.0167236866794311,0.0169650006105018,0.000279681696151781,0.000287811245714327,1.69646297646317e-07,1.62590991250932e-08,2,2,0,"Li",-0.805245802751099,-1.66512282190838,FALSE,426,245
408,-0.304875158406161,-0.33444290367625,-0.267481275310817,-0.268694236765261,0.0373938830953445,0.0361809216409004,0.0373938830953445,0.0361809216409004,0.00139830249294829,0.00130905909078497,-1.86231877300052e-06,-1.78486804326642e-07,2,2,0,"Li",-0.695957872056058,-1.45209685950843,TRUE,268,395
409,-0.336422288591536,-0.192240247571549,-0.318440384098359,-0.314617981102852,0.0179819044931769,0.0218043074886844,0.0179819044931769,0.0218043074886844,0.000323348889201735,0.000475427825061101,3.17356185850614e-06,3.04157871718732e-07,2,2,0,"Li",-0.813275697980819,-1.43945722697687,FALSE,213,132
410,0.138988277969902,0.0692344487785976,0.152382793757094,0.152161968790728,0.0133945157871923,0.0131736908208267,0.0133945157871923,0.0131736908208267,0.000179413053173342,0.000173546129842734,-1.22430131455008e-07,-1.17338466612176e-08,2,2,0,"Gv",-1.01907341230123,1.06300660684134,TRUE,433,316
411,0.0717153732780961,0.03289862268596,0.0576336970209592,0.0760475499727468,-0.0140816762571368,0.00433217669465076,0.0140816762571368,0.00433217669465076,0.000198293606210811,1.87677549136752e-05,-3.74632023214113e-06,-3.59051702594272e-07,2,2,0,"Gv",-1.06513021188537,1.67705428217769,TRUE,192,428
412,-0.431291908249388,-0.366038263032237,-0.390552084222712,-0.390158925892603,0.0407398240266767,0.0411329823567851,0.0407398240266767,0.0411329823567851,0.00165973326172458,0.00169192223756359,6.7171502358171e-07,6.43779516780185e-08,2,2,0,"Li",-0.80701975204687,-1.70858827376072,FALSE,357,203
413,0.14882337125784,0.261300615911353,0.231322083628144,0.229596375372779,0.0824987123703042,0.080773004114939,0.0824987123703042,0.080773004114939,0.00680603754275818,0.00652427819375195,-5.8797144932062e-06,-5.63518698012459e-07,2,2,0,"Bv",-0.963938639648575,1.5638250238321,TRUE,153,445
414,0.0421397796592314,-0.0350713006431613,0.12556002859374,0.1350141331236,0.0834202489345086,0.0928743534643689,0.0834202489345086,0.0928743534643689,0.00695893793229539,0.00862564553142453,3.47806199194471e-05,3.33341519825828e-06,2,2,0,"Bv",-0.957803166398016,1.87526193664534,FALSE,29,22
