"lambda.sync","cv.rmse.observed","total.local.gcv.ps","sync.energy","mean.sync.squared.disagreement","eval.elapsed.sec","path","evaluated_by_search","batch_id","dataset_id","chart_dim_rule","layout_id","full_selected_lambda","search_selected_lambda"
30,0.147158620165055,28.2582340821826,0.0721489175970024,1.2260840813724e-05,0.125999999999998,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
100,0.142987815921598,31.3857131938645,0.0276281580372889,4.69507317578501e-06,0.128,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
300,0.143345200222538,34.3382921228842,0.01453387732143,2.4698576524681e-06,0.123000000000005,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
900,0.139215681780752,38.2009506486529,0.00903924726413404,1.53611135790681e-06,0.125999999999998,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
2700,0.137683751999985,44.9291928245678,0.0059881738024706,1.01761811822462e-06,0.125,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
0,2.61837485850918,14.1419060476203,13.7730070362886,0.00234055689846208,0.0640000000000001,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
1.11111111111111e-05,2.22330395160797,14.2347717627758,13.7058352366487,0.00232914185898558,0.121000000000002,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
3.33333333333333e-05,2.25735753213657,14.2348282773311,13.7037468501155,0.00232878696281119,0.119999999999997,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
1e-04,2.27111568601292,14.2349981092392,13.6974863155024,0.00232772306024888,0.122999999999998,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
3e-04,2.26371813189532,14.2355507105203,13.6787153352075,0.00232453315790551,0.119999999999997,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
0.001,2.26316411589937,14.2379773103851,13.613152276363,0.00231339150457895,0.119999999999997,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
0.003,2.27515319139335,14.2451333119352,13.4299209913229,0.00228225355140106,0.119999999999997,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
0.01,2.24641386991525,14.2724853207017,12.8323392992963,0.00218070172993009,0.119,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
0.03,1.98461890283127,14.3647561309968,11.4211121802932,0.00194088065382255,0.123999999999995,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
0.1,1.38300161717255,14.7484006910406,8.37545208347786,0.00142330735038999,0.123999999999995,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
0.3,0.709468693141941,15.813867635697,4.8688367117967,0.000827400241882979,0.122,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
1,0.258760915138886,18.1635791543924,1.99537959180109,0.000339090763283236,0.121000000000002,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
3,0.15021440699708,21.192720827318,0.722158052708553,0.000122722075694402,0.121000000000002,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
10,0.136958215474675,24.812261374124,0.215693121556181,3.66544518767034e-05,0.122,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
30,0.131860924353675,27.856011892512,0.07838203466921,1.33200840947184e-05,0.120999999999995,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
100,0.13055312205192,30.9150912299623,0.032719456504337,5.56027811743514e-06,0.122,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
300,0.131805996024814,33.8976351024358,0.0181275437182915,3.08055803574563e-06,0.123999999999995,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
900,0.133872122560489,37.9665117857422,0.0114077951148784,1.93861757871907e-06,0.120999999999995,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
2700,0.140158689181337,45.3941760008465,0.00739370494035807,1.25647123084687e-06,0.119,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2",100,100
0,0.112743753867106,5.37110965484436,5.68881373839265,0.000435807541490911,0.0619999999999976,"expanded_reference",TRUE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
1.11111111111111e-05,0.11271930913737,5.37145228676306,5.67516904892668,0.000434762251761975,0.0570000000000022,"expanded_reference",FALSE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
3.33333333333333e-05,0.112718167029124,5.37145278124058,5.67443169571966,0.000434705764750246,0.0590000000000046,"expanded_reference",FALSE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
1e-04,0.112714713864444,5.37145427403562,5.67222084554695,0.000434536396368245,0.0609999999999999,"expanded_reference",TRUE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
3e-04,0.112704227425343,5.37145883647962,5.66559915985742,0.00043402912355293,0.0559999999999974,"expanded_reference",FALSE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
0.001,0.112667719234734,5.37147579000191,5.64255080732357,0.000432263439824282,0.0579999999999998,"expanded_reference",FALSE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
0.003,0.112570698936244,5.37153247042012,5.57777163129541,0.000427300849248655,0.0570000000000022,"expanded_reference",TRUE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
0.01,0.112300815195196,5.3718196972812,5.36283379007161,0.000410834932721113,0.0579999999999998,"expanded_reference",FALSE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
0.03,0.111821399044454,5.37344219577822,4.82984523979663,0.000370003849050623,0.0589999999999975,"expanded_reference",FALSE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
0.1,0.111025219378605,5.38262925582786,3.59706409764765,0.000275563189984837,0.0579999999999998,"expanded_reference",FALSE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
0.3,0.110115646919443,5.4127369256839,2.09945757443219,0.000160834839397691,0.0579999999999998,"expanded_reference",TRUE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
1,0.109052847774004,5.4847029165831,0.871037061706699,6.6728238586542e-05,0.0580000000000069,"expanded_reference",FALSE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
3,0.10801445943126,5.58056470721711,0.338378754960993,2.5922454148406e-05,0.0549999999999997,"expanded_reference",FALSE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
10,0.106756488658427,5.70249088124451,0.120238014740415,9.21117055461437e-06,0.056999999999995,"expanded_reference",TRUE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
30,0.105711888022325,5.82141379817352,0.0525284005565085,4.02408554009888e-06,0.0559999999999974,"expanded_reference",TRUE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
100,0.105214791800523,5.9806440835314,0.0234517678780628,1.79658849323511e-06,0.0579999999999998,"expanded_reference",TRUE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
300,0.105762038390815,6.18106642335019,0.0117291986615474,8.98548180238313e-07,0.0579999999999998,"expanded_reference",TRUE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
900,0.107315709605394,6.45703541327374,0.00632732392509565,4.84722406255416e-07,0.0609999999999999,"expanded_reference",TRUE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
2700,0.110103737684231,6.87752202635251,0.00362485410685819,2.77692121630167e-07,0.0589999999999975,"expanded_reference",FALSE,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2",100,100
0,0.112988329393043,5.29379613303719,6.16961964030084,0.000466476610099675,0.0619999999999976,"expanded_reference",TRUE,"FB11","SYN-SADDLE-LINE-N500","local.auto","wide_mixed_15_expand_2",30,30
1.11111111111111e-05,0.112963265745882,5.29379651468282,6.1685689748348,0.000466397170702513,0.0559999999999974,"expanded_reference",FALSE,"FB11","SYN-SADDLE-LINE-N500","local.auto","wide_mixed_15_expand_2",30,30
