"family","quantity","index","value17","generated.at.commit"
"gaussian","fitted",137,"-0.17199909826482856","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",138,"-0.056394632204415651","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",139,"-0.68538118537044912","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",140,"-0.039331653856435854","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",141,"0.69137975212427316","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",142,"1.7329271678512277","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",143,"0.074991837392778135","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",144,"0.10492054778983155","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",145,"-0.03143141573569188","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",146,"1.1125488941838937","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",147,"-0.086223021612466991","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",148,"1.0034015311845346","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",149,"0.69668393635139081","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",150,"0.75995463083534009","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","cv.rmse.observed",1,"0.23041596103551054","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","cv.rmse.observed",2,"0.28093391648936605","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","cv.rmse.observed",3,"0.1052317968909163","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","cv.rmse.observed",4,"0.11447970452299909","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"bernoulli","fitted",1,"0.74241874243771089","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"bernoulli","fitted",2,"0.89185931178746547","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"bernoulli","fitted",3,"0.43512140717363651","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
